scenario_id,terrain_type,response_budget,advantage,red_quality,red_doctrinal_alignment,candidate_diversity,candidate_quality_spread,n_pareto_optimal
humanitarian-evacuation-113,urban_humanitarian,4,0.4770642996227126,0.29074280150914966,0.775,0.6,0.14690349251338952,3
humanitarian-evacuation-113,urban_humanitarian,8,0.47094331551126756,0.31522673795492984,1.0,0.5547619047619047,0.2486007717705874,1
humanitarian-evacuation-113,urban_humanitarian,16,0.47094331551126756,0.31522673795492984,1.0,0.5797222222222221,0.2709252459194197,1
urban-112,urban,1,0.5313819611734856,0.10037587643652138,0.73,0.0,0.0,1
urban-112,urban,2,0.5313819611734856,0.10037587643652138,0.73,0.6666666666666667,0.040374687470952755,1
urban-112,urban,4,0.48459065301822163,0.28754110905757707,0.725,0.8055555555555557,0.22753992009200846,2
urban-112,urban,8,0.48459065301822163,0.28754110905757707,0.725,0.7142857142857143,0.22753992009200846,2
urban-112,urban,16,0.48459065301822163,0.28754110905757707,0.725,0.7680555555555557,0.2405530322376761,3
maritime-113,maritime,1,0.5143075815701041,0.1747696737195833,0.805,0.0,0.0,1
maritime-113,maritime,2,0.5143075815701041,0.1747696737195833,0.805,1.0,0.21092760384914946,1
maritime-113,maritime,4,0.48611472273560574,0.28754110905757707,0.575,0.763888888888889,0.3236990391871432,2
maritime-113,maritime,8,0.48611472273560574,0.28754110905757707,0.575,0.779761904761905,0.3236990391871432,3
maritime-113,maritime,16,0.4820728600402137,0.30370855983914513,0.625,0.7406944444444442,0.33986648996871127,2
multi-domain-114,mixed,1,0.5179446024005651,0.1747696737195833,0.805,0.0,0.0,1
multi-domain-114,mixed,2,0.5179446024005651,0.1747696737195833,0.805,1.0,0.21092760384914946,1
multi-domain-114,mixed,4,0.48975174356606666,0.28754110905757707,0.575,0.763888888888889,0.3236990391871432,2
multi-domain-114,mixed,8,0.48975174356606666,0.28754110905757707,0.575,0.779761904761905,0.3236990391871432,3
multi-domain-114,mixed,16,0.4857098808706746,0.30370855983914513,0.625,0.7406944444444442,0.33986648996871127,2
air-defense-115,air_defense,1,0.5235387578070916,0.1278449687716336,0.85,0.0,0.0,1
air-defense-115,air_defense,2,0.5235387578070916,0.1278449687716336,0.85,0.75,0.07610412677630204,1
air-defense-115,air_defense,4,0.5193371445647779,0.14465142174088838,0.665,0.7055555555555556,0.12468367417985092,2
air-defense-115,air_defense,8,0.48462542775374357,0.28349828898502577,0.665,0.6952380952380953,0.2635305414239883,4
air-defense-115,air_defense,16,0.48266184543772106,0.29135261824911574,0.85,0.6827777777777776,0.27138487068807826,1
humanitarian-evacuation-116,urban_humanitarian,1,0.4831525193236111,0.2663899227055556,1.0,0.0,0.0,1
humanitarian-evacuation-116,urban_humanitarian,2,0.4831525193236111,0.2663899227055556,1.0,0.6,0.22278202120288193,1
humanitarian-evacuation-116,urban_humanitarian,4,0.4831525193236111,0.2663899227055556,1.0,0.688888888888889,0.22278202120288193,1
humanitarian-evacuation-116,urban_humanitarian,8,0.4619498737478279,0.35120050500868827,0.9550000000000001,0.6285714285714287,0.3075926035060146,2
humanitarian-evacuation-116,urban_humanitarian,16,0.4619498737478279,0.35120050500868827,0.9550000000000001,0.5824999999999999,0.34568833332408416,2
urban-115,urban,1,0.530449825960215,0.06305956497949551,0.73,0.0,0.0,1
urban-115,urban,2,0.48557862164827237,0.242544382227266,0.77,0.6666666666666667,0.1794848172477705,1
urban-115,urban,4,0.48557862164827237,0.242544382227266,0.77,0.7777777777777778,0.1794848172477705,2
urban-115,urban,8,0.471882985111992,0.2973269283723873,0.725,0.8035714285714287,0.30033986200547313,3
urban-115,urban,16,0.471882985111992,0.2973269283723873,0.725,0.7916666666666672,0.30033986200547313,3
maritime-116,maritime,1,0.497581617163998,0.24167353134400796,0.5800000000000001,0.0,0.0,1
maritime-116,maritime,2,0.497581617163998,0.24167353134400796,0.5800000000000001,0.6666666666666667,0.1853856759248116,2
maritime-116,maritime,4,0.497581617163998,0.24167353134400796,0.5800000000000001,0.75,0.20719010700884455,3
maritime-116,maritime,8,0.497581617163998,0.24167353134400796,0.5800000000000001,0.7339285714285715,0.22008313783906552,3
maritime-116,maritime,16,0.47368594653075397,0.3372562138769842,0.62,0.7130555555555552,0.31566582037204177,4
multi-domain-117,mixed,1,0.5052566125874142,0.24167353134400796,0.5800000000000001,0.0,0.0,1
multi-domain-117,mixed,2,0.5052566125874142,0.24167353134400796,0.5800000000000001,0.6666666666666667,0.1853856759248116,2
multi-domain-117,mixed,4,0.5052566125874142,0.24167353134400796,0.5800000000000001,0.75,0.20719010700884455,3
multi-domain-117,mixed,8,0.5052566125874142,0.24167353134400796,0.5800000000000001,0.7339285714285715,0.22008313783906552,3
multi-domain-117,mixed,16,0.4813609419541702,0.3372562138769842,0.62,0.7130555555555552,0.31566582037204177,4
air-defense-118,air_defense,1,0.5006336010913037,0.21946559563478535,0.625,0.0,0.0,1
air-defense-118,air_defense,2,0.5006336010913037,0.21946559563478535,0.625,0.6666666666666667,0.13402537028420983,2
air-defense-118,air_defense,4,0.4915366062918705,0.25585357483251797,0.805,0.7611111111111111,0.25886650846560383,2
