scenario_id,terrain_type,framing,advantage_single,advantage_sampled,advantage_doctrine_aware,nash_gap_single,nash_gap_sampled,nash_gap_doctrine_aware,blue_doctrinal_alignment,blue_path_optionality,blue_vertex_parsimony,blue_worldline_completion,red_doctrinal_alignment_single,red_doctrinal_alignment_sampled,red_doctrinal_alignment_doctrine_aware,red_doctrinal_alignment_llm,candidate_diversity,candidate_quality_spread,n_pareto_optimal,selection_quality_regret,selection_doctrinal_gain,selection_changed,blue_wins_single,blue_wins_sampled,blue_wins_doctrine_aware,advantage_llm,nash_gap_llm,blue_wins_llm,llm_response_actions,advantage_council,blue_wins_council,council_diversity,council_revised_diversity,council_consensus_gap,council_adversarial_pressure,council_robustness_margin,council_pressure_reduction,council_selected_round,council_path_optionality,council_vertex_parsimony,council_worldline_completion
urban-106,urban,blue,0.45318073820573,0.45318073820573,0.45318073820573,0.18115539416062165,0.18115539416062165,0.18115539416062165,1.0,0.5,0.8,0.0,0.59,0.59,0.59,1.0,0.8035714285714285,0.2355621400266791,3,0.1779494044493161,0.32000000000000006,True,True,True,True,0.45630111025160053,0.17491465006888074,True,4,0.4742078717272398,True,0.89,1.0,0.021547793741268084,0.6234736402998828,0.021547793741268084,-0.004298439478688576,1,0.0,0.5,0.0
maritime-107,maritime,neutral,0.4952828766725861,0.48070857359244695,0.48070857359244695,0.24143424665482782,0.2705828528151062,0.2705828528151062,0.815,0.0,0.5,0.0,0.625,0.625,0.625,1.0,0.6744047619047618,0.24040693697495852,2,0.10870653085176807,0.18000000000000005,True,True,True,True,0.4921636166621143,0.24767276667577143,True,4,0.513370579277663,True,0.39999999999999997,0.5714285714285714,0.03649421280614573,0.6140738936123097,0.03649421280614573,0.013236161468199503,1,0.0,0.5,0.0
multi-domain-108,mixed,adversary,0.4763411795758823,0.4617668764957432,0.4617668764957432,0.20355085246142024,0.2326994586216986,0.2326994586216986,0.725,0.0,0.5,0.0,0.625,0.625,0.625,1.0,0.6744047619047618,0.24040693697495852,2,0.10870653085176807,0.18000000000000005,True,False,False,False,0.47606498094777816,0.2041032497176285,False,4,0.48296299059496756,False,0.9400000000000001,1.0,0.006166873233482528,0.637005676784293,0.014356845069264268,-0.0009710458747907991,1,0.0,0.5,1.0
air-defense-109,air_defense,adversary,0.531471596935656,0.49148785526514815,0.49148785526514815,0.1590568061286879,0.23902428946970367,0.23902428946970367,0.665,0.0,0.5,0.0,0.805,0.85,0.85,1.0,0.6297619047619047,0.22523568799686566,1,0.0,0.0,False,True,True,True,0.49607248459378894,0.2298550308124221,True,4,0.5048704141034439,True,0.3333333333333334,0.5,0.0030908103819456967,0.6260742239607479,0.0030908103819456967,0.014212708531695095,1,0.0,0.5,0.0
humanitarian-evacuation-110,urban_humanitarian,blue,0.5382796830566138,0.48846337456137134,0.4954488621715337,0.12244063388677251,0.22207325087725738,0.20810227565693262,1.0,0.0,0.5555555555555556,0.0,0.8200000000000001,0.9550000000000001,1.0,1.0,0.48214285714285715,0.21397853764576064,2,0.027941950440649593,0.04499999999999993,True,True,True,True,0.48756580717885173,0.22386838564229672,True,4,0.5266206141179136,True,0.28571428571428564,0.4444444444444444,0.007832631873197271,0.5644190277601101,0.0,0.013005725376153854,0,0.0,0.5,0.0
urban-109,urban,blue,0.5533363439186157,0.5065824492874084,0.5065824492874084,0.1785276664420592,0.27203545570447374,0.27203545570447374,1.0,0.5,0.8,0.0,0.77,0.59,0.59,1.0,0.761904761904762,0.2069159991463836,4,0.061201371592689346,0.32000000000000006,True,True,True,True,0.5136748774643765,0.25785059935053756,True,4,0.5091526472239135,True,0.89,0.6666666666666667,0.007266110319576469,0.6484886282709063,0.013604168778112935,0.0019873011922445505,1,0.0,0.5,0.0
maritime-110,maritime,neutral,0.5083688296779727,0.49114632058068636,0.49114632058068636,0.21526234064405436,0.24970735883862716,0.24970735883862716,0.815,0.0,0.5,0.0,0.62,0.62,0.62,1.0,0.6946428571428572,0.2339450253464782,2,0.1515092952833142,0.18500000000000005,True,True,True,True,0.4958791667401679,0.24024166651966405,True,4,0.4973575474600868,True,0.39999999999999997,0.5714285714285714,0.0017216572633852456,0.6413181275351387,0.004872148264751575,-0.02752649787821282,1,0.0,0.5,0.3333333333333333
multi-domain-111,mixed,adversary,0.5299678446301221,0.5127453355328357,0.5127453355328357,0.25846037054835325,0.29290538874292604,0.29290538874292604,0.725,0.0,0.5,0.0,0.62,0.62,0.62,1.0,0.6946428571428572,0.2339450253464782,2,0.1515092952833142,0.18500000000000005,True,True,False,False,0.5136253630261165,0.29114533375636453,False,4,0.5343920937729055,False,0.9400000000000001,1.0,0.021571042160702047,0.6104470648138002,0.021571042160702047,-0.012903255587190854,1,0.0,0.5,1.0
air-defense-112,air_defense,adversary,0.49880587569954893,0.4826627596405439,0.4926341697710501,0.22438824860090212,0.2566744807189123,0.23673166045789973,0.665,0.0,0.5,0.0,0.62,0.665,0.85,1.0,0.6357142857142859,0.2854645940141935,3,0.03988564052202509,0.18499999999999994,True,False,False,False,0.49490572200083754,0.232188555998325,False,4,0.5000961339445436,False,0.3333333333333334,0.5,0.009120938526475886,0.6308409545662252,0.009120938526475886,0.01046926048894603,1,0.0,0.5,0.0
humanitarian-evacuation-113,urban_humanitarian,blue,0.4945481382168642,0.47094331551126756,0.47094331551126756,0.20990372356627152,0.25711336897746495,0.25711336897746495,1.0,0.0,0.5555555555555556,0.0,0.815,1.0,1.0,1.0,0.5547619047619047,0.2486007717705874,1,0.0,0.0,False,True,True,True,0.488133200379423,0.2227335992411541,True,4,0.5270100207865628,True,0.28571428571428564,0.4444444444444444,0.003769683890866349,0.5571737040059624,0.0,0.009644078642171316,0,0.0,0.5,0.0
urban-112,urban,blue,0.5313819611734856,0.48459065301822163,0.48459065301822163,0.16313979878349238,0.2567224150940204,0.2567224150940204,1.0,0.5,0.8,0.0,0.73,0.725,0.725,1.0,0.7142857142857143,0.22753992009200846,2,0.13058363502869288,0.18500000000000005,True,True,True,True,0.4899137429230258,0.24607623528441191,True,4,0.49240910342984767,True,0.89,0.6666666666666667,0.0025304460370889625,0.6553523532166361,0.0025304460370889625,-0.01879022865285984,1,0.0,0.5,0.0
maritime-113,maritime,neutral,0.5143075815701041,0.48611472273560574,0.48917582883443256,0.20338483685979147,0.2597705545287885,0.25364834233113487,0.815,0.0,0.5,0.0,0.805,0.575,0.625,1.0,0.779761904761905,0.3236990391871432,3,0.11277143533799378,0.2300000000000001,True,True,True,True,0.4958082357884935,0.24038352842301292,True,4,0.5083278571501132,True,0.39999999999999997,0.5714285714285714,0.023206879221187637,0.6253782246092016,0.023206879221187637,-0.008681460972370325,1,0.0,0.5,0.0
multi-domain-114,mixed,adversary,0.5179446024005651,0.48975174356606666,0.49281284966489347,0.21065887852071352,0.2670445961897103,0.2609223839920567,0.725,0.0,0.5,0.0,0.805,0.575,0.625,1.0,0.779761904761905,0.3236990391871432,3,0.11277143533799378,0.2300000000000001,True,True,True,True,0.49620879274531554,0.25413049783121267,False,4,0.5256032137775342,True,0.9400000000000001,1.0,0.0034836808592008106,0.5981015530152816,0.0341478354470196,0.04984908343497252,1,0.0,0.5,1.0
air-defense-115,air_defense,adversary,0.5235387578070916,0.48462542775374357,0.48462542775374357,0.1749224843858168,0.25274914449251273,0.25274914449251273,0.665,0.0,0.5,0.0,0.85,0.665,0.665,1.0,0.6952380952380953,0.2635305414239883,4,0.011385026260629927,0.09499999999999997,True,True,True,True,0.48862350795341275,0.24475298409317459,False,4,0.4917161908049634,True,0.3333333333333334,0.5,0.0001741907477282867,0.6536015572995011,0.0001741907477282867,-0.0416066438549727,1,0.0,0.5,0.0
humanitarian-evacuation-116,urban_humanitarian,blue,0.4831525193236111,0.4619498737478279,0.4619498737478279,0.23269496135277778,0.2751002525043442,0.2751002525043442,1.0,0.0,0.5555555555555556,0.0,1.0,0.9550000000000001,0.9550000000000001,1.0,0.6285714285714287,0.3075926035060146,2,0.0,0.0,False,True,True,True,0.4910675542554053,0.2168648914891893,True,4,0.5133988420247702,True,0.28571428571428564,0.4444444444444444,0.012236111516117254,0.5999210154615592,0.013764105304113206,0.04376864178354001,1,0.0,0.5,0.0
urban-115,urban,blue,0.530449825960215,0.471882985111992,0.48557862164827237,0.1239592168999255,0.2410928985963714,0.21370162552381067,1.0,0.5,0.8,0.0,0.73,0.725,0.77,1.0,0.8035714285714287,0.30033986200547313,3,0.1491703037042723,0.18500000000000005,True,True,True,True,0.48483754640759497,0.21518377600516536,True,4,0.5003496756964607,True,0.89,0.6666666666666667,0.018076132715712512,0.6251686186423615,0.018076132715712512,0.02672040961195221,1,0.0,0.5,0.0
maritime-116,maritime,neutral,0.497581617163998,0.497581617163998,0.5067637315653237,0.23683676567200385,0.23683676567200385,0.21847253686935253,0.815,0.0,0.5,0.0,0.5800000000000001,0.5800000000000001,0.485,1.0,0.7339285714285715,0.22008313783906552,3,0.0,0.0,False,True,True,True,0.4940244078514764,0.2439511842970472,True,4,0.5068744178202005,True,0.39999999999999997,0.5714285714285714,0.008386408491985686,0.6260657238870333,0.008386408491985686,-0.025805537750036467,1,0.0,0.5,0.0
multi-domain-117,mixed,adversary,0.5052566125874142,0.5052566125874142,0.5144387269887399,0.2521867565188365,0.2521867565188365,0.23382252771618495,0.725,0.0,0.5,0.0,0.5800000000000001,0.5800000000000001,0.485,1.0,0.7339285714285715,0.22008313783906552,3,0.0,0.0,False,True,True,True,0.5063875052998132,0.2499249710940381,False,4,0.5297531361026719,True,0.9400000000000001,1.0,0.030047708508729176,0.5956582781689226,0.05354912691821717,0.014719700033920202,1,0.0,0.5,1.0
air-defense-118,air_defense,adversary,0.5006336010913037,0.4915366062918705,0.5068759776285706,0.22073279781739252,0.23892678741625906,0.20824804474285874,0.665,0.0,0.5,0.0,0.625,0.805,0.85,1.0,0.6684523809523809,0.26897422272668914,2,0.0,0.0,False,False,False,False,0.4902211077689495,0.24155778446210108,False,4,0.5200324140446203,False,0.3333333333333334,0.5,0.010925705152912746,0.5947497314381935,0.010925705152912746,0.0476182563392028,1,0.0,0.5,0.0
humanitarian-evacuation-119,urban_humanitarian,blue,0.4891139044431835,0.47541826790690317,0.4759660994510076,0.2207721911136331,0.24816346418619384,0.24706780109798476,1.0,0.0,0.5555555555555556,0.0,1.0,0.73,1.0,1.0,0.6351190476190478,0.1872953985315487,2,0.002191326176417707,0.27,True,True,True,True,0.4851509512577511,0.22869809748449788,True,4,0.4892120925956171,True,0.28571428571428564,0.4444444444444444,0.0033878371023680076,0.6545143504338711,0.0033878371023680076,-0.013283924333644448,1,0.0,0.5,0.0
urban-118,urban,blue,0.5106069619629776,0.46154660686274473,0.46154660686274473,0.13758180798489184,0.2357025181853576,0.2357025181853576,1.0,0.5,0.8,0.0,0.59,0.59,0.59,1.0,0.7678571428571429,0.2913530001177786,3,0.0,0.0,False,True,True,True,0.47843997442253294,0.20191578306578117,False,4,0.5140797680825506,True,0.89,0.6666666666666667,0.005133181569945411,0.5581724267257802,0.0,0.025467420641535732,0,0.0,0.5,0.0
maritime-119,maritime,neutral,0.493541374992182,0.493541374992182,0.493541374992182,0.24491725001563602,0.24491725001563602,0.24491725001563602,0.815,0.0,0.5,0.0,0.485,0.485,0.485,1.0,0.6529761904761904,0.18563610045217732,3,0.07515025217423024,0.32000000000000006,True,True,True,True,0.4965292835170682,0.23894143296586368,True,4,0.5032649197579983,True,0.39999999999999997,0.5714285714285714,0.010751403988166486,0.6334910090582682,0.010751403988166486,-0.03173219555408391,1,0.0,0.5,0.3333333333333333
multi-domain-120,mixed,adversary,0.5017243667257122,0.5017243667257122,0.5017243667257122,0.26128323348269644,0.26128323348269644,0.26128323348269644,0.725,0.0,0.5,0.0,0.485,0.485,0.485,1.0,0.6529761904761904,0.18563610045217732,3,0.07515025217423024,0.32000000000000006,True,True,True,True,0.5053230819094481,0.25408580311522466,True,4,0.5303878811401909,True,0.9400000000000001,1.0,0.02746243624444411,0.5956110697609434,0.05610892172407822,0.053978854333607273,1,0.0,0.5,1.0
air-defense-121,air_defense,adversary,0.5034353692497344,0.4718563518973671,0.4718563518973671,0.21512926150053113,0.2782872962052658,0.2782872962052658,0.665,0.0,0.5,0.0,0.67,0.665,0.665,1.0,0.5845238095238096,0.30234912619564136,3,0.0,0.0,False,True,True,True,0.49045509790408126,0.24108980419183745,True,4,0.49466037782079986,True,0.3333333333333334,0.5,0.0017362748325296384,0.6457000929326651,0.0017362748325296384,-0.03632512164113699,1,0.0,0.5,0.0
humanitarian-evacuation-122,urban_humanitarian,blue,0.48234975382173306,0.47307002615821253,0.47307002615821253,0.23430049235653394,0.2528599476835751,0.2528599476835751,1.0,0.0,0.5555555555555556,0.0,0.635,1.0,1.0,1.0,0.6238095238095239,0.32903102007692464,1,0.0,0.0,False,True,True,True,0.48867206219083764,0.22165587561832467,True,4,0.5267360011204324,True,0.28571428571428564,0.4444444444444444,0.005733457085342397,0.5641927317760795,0.0,0.022789001715389667,0,0.0,0.5,0.0
urban-121,urban,blue,0.5036142616566364,0.46724067462377156,0.46724067462377156,0.16927823866461633,0.24202541273034583,0.24202541273034583,1.0,0.5,0.8,0.0,0.59,0.77,0.77,1.0,0.767857142857143,0.3022897371800536,1,0.0,0.0,False,True,True,True,0.48394318867488445,0.20862038462812027,True,4,0.48020630236488215,True,0.89,0.6666666666666667,0.00728180776487658,0.6491502985621675,0.00728180776487658,0.0026772765247097263,1,0.0,0.5,0.0
maritime-122,maritime,neutral,0.4978886173028883,0.46727870958271267,0.46727870958271267,0.23622276539422327,0.2974425808345744,0.2974425808345744,0.815,0.0,0.5,0.0,0.44,0.805,0.805,1.0,0.7315476190476192,0.30449458221371783,1,0.0,0.0,False,True,True,True,0.4969728723742013,0.23805425525159718,True,4,0.5166307155329589,True,0.39999999999999997,0.5714285714285714,0.003907054693731538,0.5919557867369796,0.0,0.024283615021540195,0,0.0,0.5,0.0
multi-domain-123,mixed,adversary,0.4986499392756598,0.4680400315554842,0.4680400315554842,0.2377454093397664,0.29896522478011756,0.29896522478011756,0.725,0.0,0.5,0.0,0.44,0.805,0.805,1.0,0.7315476190476192,0.30449458221371783,1,0.0,0.0,False,True,False,False,0.49576800001725346,0.243509287856579,False,4,0.48938487056933,False,0.9400000000000001,1.0,0.009275327924702204,0.6604701206097803,0.0325709443779455,-0.06980402237302585,1,0.0,0.5,1.0
air-defense-124,air_defense,adversary,0.559667088973934,0.4809627769313459,0.4809627769313459,0.10266582205213193,0.26007444613730835,0.26007444613730835,0.665,0.0,0.5,0.0,0.665,0.665,0.665,1.0,0.5928571428571429,0.31481724817035256,3,0.1386018335427921,0.18499999999999994,True,True,False,False,0.4907064091638851,0.2405871816722298,False,4,0.49006665208922046,False,0.3333333333333334,0.5,0.007512062468783831,0.6525839136244564,0.007512062468783831,-0.009587491299577255,1,0.0,0.5,0.0
humanitarian-evacuation-125,urban_humanitarian,blue,0.47954356896410844,0.47954356896410844,0.47954356896410844,0.2399128620717832,0.2399128620717832,0.2399128620717832,1.0,0.0,0.5555555555555556,0.0,1.0,1.0,1.0,1.0,0.5279761904761905,0.20478343940935162,1,0.0,0.0,False,True,True,True,0.4869023152898224,0.225195369420355,True,4,0.5039926613971373,True,0.28571428571428564,0.4444444444444444,0.0029906070875435065,0.6124809495925276,0.005907631710762973,0.013891424178043899,1,0.0,0.5,0.0
urban-124,urban,blue,0.5283949094495373,0.45985871074047174,0.4672434194700898,0.08092251743378265,0.2179949148519138,0.20322549739267748,1.0,0.5,0.8,0.0,0.545,0.725,0.73,1.0,0.8511904761904764,0.2741447948362622,4,0.10312828240371441,0.18500000000000005,True,True,True,True,0.4762715954046857,0.18516914552348585,True,4,0.46175191695922185,True,0.89,0.6666666666666667,0.00031339555772424976,0.6672640455993134,0.0,-0.0031449110316476014,0,0.0,0.5,0.0
maritime-125,maritime,neutral,0.5148412709490842,0.491314908971798,0.491314908971798,0.20231745810183166,0.24937018205640404,0.24937018205640404,0.815,0.0,0.5,0.0,0.44,0.805,0.805,1.0,0.7494047619047619,0.20943932450514752,1,0.0,0.0,False,True,True,True,0.49876965473322293,0.23446069053355423,True,4,0.5100190637216178,True,0.39999999999999997,0.5714285714285714,0.008934990838415757,0.6147047079234301,0.008934990838415757,-0.002279472681943173,1,0.0,0.5,0.3333333333333333
multi-domain-126,mixed,adversary,0.528175860242456,0.5046494982651698,0.5046494982651698,0.2289866366885751,0.2760393606431475,0.2760393606431475,0.725,0.0,0.5,0.0,0.44,0.805,0.805,1.0,0.7494047619047619,0.20943932450514752,1,0.0,0.0,False,True,False,False,0.5103008133975054,0.2647367303784762,False,4,0.499914114036184,False,0.9400000000000001,1.0,0.026002400278012594,0.6615837858810412,0.026002400278012594,-0.009224493691934343,1,0.0,0.5,1.0
air-defense-127,air_defense,adversary,0.4858103608770966,0.4858103608770966,0.4858103608770966,0.25037927824580675,0.25037927824580675,0.25037927824580675,0.665,0.0,0.5,0.0,0.805,0.805,0.805,1.0,0.6130952380952381,0.21738150629385333,2,0.0,0.0,False,True,True,True,0.4935002706652338,0.2349994586695323,True,4,0.5089678641033399,True,0.3333333333333334,0.5,0.011291258066090437,0.6118071071599859,0.011291258066090437,0.020320030579197845,1,0.0,0.5,0.0
humanitarian-evacuation-128,urban_humanitarian,blue,0.4819442375060252,0.47876460800591913,0.47876460800591913,0.23511152498794963,0.2414707839881618,0.2414707839881618,1.0,0.0,0.5555555555555556,0.0,1.0,1.0,1.0,1.0,0.5035714285714287,0.26820019237701187,1,0.0,0.0,False,True,True,True,0.4893544382322445,0.22029112353551117,True,4,0.5292396373951485,True,0.28571428571428564,0.4444444444444444,0.0053575339507766495,0.5542445548522823,0.0,0.05368377907711841,0,0.0,0.5,0.0
urban-127,urban,blue,0.5652842801303103,0.5004257741072968,0.5066838989036466,0.18192346232055567,0.3116404743665826,0.299124224773883,1.0,0.5,0.8,0.0,0.77,0.725,0.77,1.0,0.8392857142857142,0.2886604324319821,3,0.025032499185399182,0.04500000000000004,True,True,True,True,0.5148699199811579,0.28275218261886037,True,4,0.5373955828781256,True,0.89,0.6666666666666667,0.014682568297930243,0.5844259132412312,0.0,0.042553686113141365,0,0.0,0.5,0.0
maritime-128,maritime,neutral,0.5398563280889085,0.49261055056692205,0.49261055056692205,0.152287343822183,0.2467788988661559,0.2467788988661559,0.815,0.0,0.5,0.0,0.805,0.805,0.805,1.0,0.6458333333333334,0.20097221226973727,1,0.0,0.0,False,True,True,True,0.49866820043281995,0.2346635991343602,True,4,0.49596066174109055,True,0.39999999999999997,0.5714285714285714,0.02408913037969984,0.637026218656389,0.030673670372107775,0.0015449808020774336,1,0.0,0.5,0.0
multi-domain-129,mixed,adversary,0.5536491153263426,0.5064033378043562,0.5064033378043562,0.17987291829705132,0.274364473341024,0.274364473341024,0.725,0.0,0.5,0.0,0.805,0.805,0.805,1.0,0.6458333333333334,0.20097221226973727,1,0.0,0.0,False,True,True,True,0.5052912220189455,0.2765887049118456,False,4,0.49850305865319494,True,0.9400000000000001,1.0,0.04581101672868204,0.6595269993070485,0.047292133740668374,-0.01580079152484326,1,0.0,0.5,1.0
air-defense-130,air_defense,adversary,0.5683943650344645,0.49996457343467227,0.5131200974411677,0.08521126993107098,0.22207085313065544,0.19575980511766478,0.665,0.0,0.5,0.0,0.85,0.76,0.85,1.0,0.6297619047619049,0.2737191663991689,3,0.05262209602598164,0.08999999999999997,True,True,True,True,0.49292173571869663,0.23615652856260683,True,4,0.5148128338778466,True,0.3333333333333334,0.5,0.0046087623208318496,0.5818218743828769,0.0,0.028913676520229026,0,0.0,0.5,0.0
humanitarian-evacuation-131,urban_humanitarian,blue,0.4783108932583525,0.4720527684620027,0.4783108932583525,0.24237821348329502,0.2548944630759946,0.24237821348329502,1.0,0.0,0.5555555555555556,0.0,1.0,0.815,1.0,1.0,0.5904761904761904,0.2328404756951122,2,0.025032499185399182,0.18500000000000005,True,True,True,True,0.48915176614281225,0.22069646771437545,True,4,0.5169411844431101,True,0.28571428571428564,0.4444444444444444,0.0032788347991047906,0.568588698820674,0.0,0.017185499485880995,0,0.0,0.5,0.0
urban-130,urban,blue,0.5205274318794234,0.4801113639700115,0.4801113639700115,0.21294742556229407,0.2937795613811178,0.2937795613811178,1.0,0.5,0.8,0.0,0.865,0.59,0.59,1.0,0.7738095238095238,0.2667314178973177,4,0.03699491663618476,0.18000000000000005,True,True,True,True,0.49527448756803916,0.26345331418506257,True,4,0.5259605535064119,True,0.89,0.6666666666666667,0.0033518753637649668,0.5903767067761495,0.0,0.026769156962982765,0,0.0,0.5,0.0
maritime-131,maritime,neutral,0.5182134949055691,0.4877747707671185,0.4877747707671185,0.19557301018886175,0.256450458465763,0.256450458465763,0.815,0.0,0.5,0.0,0.805,0.805,0.805,1.0,0.6410714285714286,0.21317659999478983,1,0.0,0.0,False,True,True,True,0.4919222805843363,0.2481554388313274,True,4,0.5086488443894509,True,0.39999999999999997,0.5714285714285714,0.015571969819873854,0.6209109860087026,0.015571969819873854,0.017253693431840023,1,0.0,0.5,0.0
multi-domain-132,mixed,adversary,0.5189072980425744,0.48846857390412385,0.48846857390412385,0.19696061646287255,0.25783806473977355,0.25783806473977355,0.725,0.0,0.5,0.0,0.805,0.805,0.805,1.0,0.6410714285714286,0.21317659999478983,1,0.0,0.0,False,False,False,False,0.49104606401958173,0.2526830845088579,False,4,0.49832571002217657,False,0.9400000000000001,1.0,0.006405142814418674,0.6429448610172621,0.02096371745694181,-0.02081896498295366,1,0.0,0.5,1.0
air-defense-133,air_defense,adversary,0.5004760398090461,0.4961835730737518,0.4961835730737518,0.2210479203819078,0.22963285385249632,0.22963285385249632,0.665,0.0,0.5,0.0,0.805,0.665,0.665,1.0,0.5517857142857142,0.17789615517197888,3,0.017169866941177198,0.14,True,True,True,True,0.494189533333249,0.23362093333350198,True,4,0.5123834849957911,True,0.3333333333333334,0.5,0.008772862254795899,0.6084417047960223,0.008772862254795899,0.012074631387533397,1,0.0,0.5,0.25
